ID	DOCULECT	NUMBER	CONCEPT	TOKENS	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	Suansu	1	above	a ddʑ oj	731	1741	ABOVE
2	Suansu	2	all	m ɐ dz õ	962	98	ALL
3	Suansu	3	the ant	kʰ õ r õ i	365	587	ANT
4	Suansu	4	the armpit	kʰ f a tʰ ɐ̃ l ɐ̃	92	1886	ARMPIT
5	Suansu	5	bad	g ə f je	1053	1292	BAD
6	Suansu	6	the bamboo	g ə f e θ ə m	389	1927	BAMBOO
7	Suansu	7	the barley (tibetan or highland)	g e h u	411	932	BARLEY
8	Suansu	8	to be alive	ʃ a ŋ e	1087	1422	BE ALIVE
9	Suansu	9	the belly	p o k	96	1251	BELLY
10	Suansu	10	below, under	a x õ i	732	1485	BELOW OR UNDER
11	Suansu	11	big	a dd a j	964	1202	BIG
12	Suansu	12	the bird	x ɹ e	326	937	BIRD
13	Suansu	13	to bite	m k a j	1753	1403	BITE
14	Suansu	14	black	a tt ə k e	1005	163	BLACK
15	Suansu	15	the blood	ss	129	946	BLOOD
16	Suansu	16	to blow (of wind)	pʰ æ nn e	1738	175	BLOW (OF WIND)
17	Suansu	17	the body hair (hair or fur)	a ɹ e	266	189	HAIR (BODY)
18	Suansu	18	the bone	a ɹɹ ə	133	1394	BONE
19	Suansu	19	the branch	a tts a	374	1531	BRANCH
20	Suansu	20	the breast (female)	n w i	94	1402	BREAST
21	Suansu	21	to burn [intransitive]	a ddʑ o j	1269	1428	BURNING
22	Suansu	22	to buy	a ll u e	1516	1869	BUY
23	Suansu	23	to chew	f I k a e	1424	321	CHEW
24	Suansu	24	the child (young human)	ɲ ə	169	1304	CHILD (YOUNG HUMAN)
25	Suansu	25	the cloud	ɲ o m a	7	1489	CLOUD
26	Suansu	26	cold (of temperature)	m o k u ŋ e	1063	1287	COLD
27	Suansu	27	to come	ɹ e	1491	1446	COME
28	Suansu	28	correct (right)	m a θ u ŋ e	1045	1725	CORRECT (RIGHT)
29	Suansu	29	to count	ts a k e	1640	1420	COUNT
30	Suansu	30	to cry (weep)	a ddʑ a i	1485	1839	CRY
31	Suansu	31	dark	m ə mm e	1013	706	DARK
32	Suansu	32	the daughter	ɲ ə l e w i	222	1357	DAUGHTER
33	Suansu	33	the dew	n u ŋ a e	15	1977	DEW
34	Suansu	34	to die	a tts w e	1651	1494	DIE
35	Suansu	35	to dig	a ʈʈʂ u e	1698	1418	DIG
