Grapheme	IPA	Frequency
_	NULL	
oj	oi	1
ɐ	a	1
je	j e	1
æ	æ	1
ʈʈʂ	ʈʂː	1
ɵ.j	oi	1
ɔ̃	ɔ̃	1
œ̃	œ̃	1
ʷ/w	w	1
ú	u	1
ð	ð	1
I	ɪ	1
í	i	1
ē/e	e	1
ê/e	e	1
ttʃ	tʃː	1
í/i	i	1
ə.e/i	əi	1
ɛ	ɛ	1
/ŋ	ŋ	1
ddʰ	dʰː	1
sʰ	sʰ	1
χ	χ	1
ə.i	əi	1
t.h/ʰ	tʰ	1
ttɕ	tɕː	1
tt.h/ʰ	tʰː	1
dʑ	dʑ	1
kh	kʰ	1
e.j/i	ei	1
ph	pʰ	1
th/tʰ	tʰ	1
ff	fː	1
õ.i	õi	2
ɐ̃	ɐ̃	2
a.j	ai	2
tt	tː	2
a.i	ai	2
ddʒ	dʒː	2
õ.e/i	õi	2
ẽ	ẽ	2
a.j/i	ai	2
tɕ	tɕ	2
o.i	oi	2
ə̃.e/i	ə̃i	2
s	s	2
v	v	2
ɔ	ɔ	2
dd	dː	3
ɹɹ	ɹː	3
ʍ	ʍ	3
pp	pː	3
a.e/i	ai	3
bb	bː	3
o.j/i	oi	3
ttʰ	tʰː	3
dʒ	dʒ	3
x	x	4
i/j	j	4
b	b	4
tʂ	ʈʂ	4
ddʑ	dʑː	5
dz	dz	5
I/ɪ	ɪ	5
ɛ̃	ɛ̃	5
d	d	5
ss	sː	6
pʰ	pʰ	6
tts	tsː	6
ɬ	ɬ	6
ã	ã	6
z	z	6
õ	õ	7
r	r	7
f	f	7
h	h	7
ll	lː	7
ə̃	ə̃	7
ɲ	ɲ	8
t	t	8
tʰ	tʰ	9
nn	nː	9
u/w	w	9
kʰ	kʰ	11
tʃ	tʃ	11
j	j	12
mm	mː	12
ts	ts	14
g	g	15
ʃ	ʃ	18
l	l	19
p	p	20
o	o	21
ɹ	ɹ	21
ŋ	ŋ	26
θ	θ	32
n	n	33
w	w	35
u	u	38
k	k	41
i	i	41
m	m	49
ə	ə	75
e	e	115
a	a	150
